X-axis,Y-axis,Link
-5.816708316328,10.1233801625203,0
-5.49579480662942,11.0369616574608,0
-5.17488136421889,11.9505431668367,0
-4.84633805055637,12.8598681772128,0
-4.51389055908658,13.7670151409693,0
-4.17138019844424,14.6682652707677,0
-3.82363457907923,15.5664475294761,0
-3.45892416348215,16.4540671752766,0
-3.08558742050081,17.3360119282734,0
-2.69908954109997,18.2091898366343,0
-2.29593440657482,19.0705107380636,0
-1.88404137617908,19.9253422105685,0
-1.46410033362918,20.774114979431,0
-1.03558559936937,21.61617674632,0
-0.605570149840787,22.4570449755993,0
-0.173379627871327,23.2961759015452,0
0.258323359303176,24.1356977541,0
0.68960603652522,24.9755566243548,0
1.12228518887423,25.8142914357595,0
1.55670561932493,26.651624660939,0
1.99112596502528,27.4889579101,0
2.42757622140925,28.3246376928873,0
2.86608346528374,29.1586419625673,0
3.30459062219597,29.9926462543663,0
3.74309769610409,30.8266505687498,0
4.18215484649409,31.6602026210167,0
4.62220424134284,32.4929389024619,0
5.06225355074275,33.3256752071902,0
5.50230277492665,34.1584115354344,0
5.94235191354528,34.9911478855647,0
6.38254544930533,35.8237650906667,0
6.82305274857208,36.6561234511901,0
7.26355996273924,37.4884818363935,0
7.70406709355302,38.3208402437158,0
8.14457413670607,39.1531986757182,0
8.58508109452669,39.9855571300723,0
9.02543874341063,40.8180387353059,0
9.46572034491692,41.6505830413662,0
9.9060018613236,42.4831273707096,0
10.346283292165,43.3156717207748,0
10.7865646401187,44.1482160941232,0
11.2268459001789,44.9807604921516,0
11.6665534131462,45.8137774323113,0
12.1060022773454,46.647007368505,0
12.5454510565614,47.4802373277489,0
12.9848997524241,48.3134673109744,0
13.4243483610917,49.1466973165516,0
13.8637968865223,49.9799273435492,0
14.3021777145332,50.8140333252959,0
14.7400685313623,51.6485412965994,0
15.17795926088,52.4830492907204,0
15.6158499051817,53.3175573062617,0
16.0537404645002,54.1520653450862,0
16.4916309409309,54.9865734064952,0
16.927019922412,55.8231196196284,0
17.3622530057328,56.6597928144038,0
